version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.2;05914000;13.09.2020;Ratswahl;1034;1034 Kinkelstraße;;1009;213;0;1222;259;1;7;252;78;55;35;13;10;33;7;;4;;1;4;12
0.2;05914000;13.09.2020;Ratswahl;1041;1041 Zur Heide;;1029;194;0;1223;333;3;11;322;86;93;35;11;16;37;22;;2;;0;8;12
0.2;05914000;13.09.2020;Ratswahl;1042;1042 Alexander- / Alleestr.;;1254;108;0;1362;127;2;1;126;36;20;13;7;6;27;2;;3;;1;6;5
0.2;05914000;13.09.2020;Ratswahl;1043;1043 Ginsterheide;;992;210;0;1202;231;1;5;226;66;56;36;5;11;27;4;;0;;1;11;9
0.2;05914000;13.09.2020;Ratswahl;1044;1044 Polizeipräsidium;;993;260;0;1253;177;3;8;169;42;39;17;9;12;37;4;;2;;0;5;2
0.2;05914000;13.09.2020;Ratswahl;1051;1051 Höing;;835;352;0;1187;390;0;6;384;73;126;82;19;11;30;32;;1;;1;6;3
0.2;05914000;13.09.2020;Ratswahl;1052;1052 Fleyer Str.;;785;457;0;1242;352;2;0;352;76;128;57;17;9;24;35;;1;;0;0;5
0.2;05914000;13.09.2020;Ratswahl;1053;1053 Tondernsiedlung;;610;263;0;873;265;4;0;265;64;66;42;21;5;36;23;;3;;0;3;2
0.2;05914000;13.09.2020;Ratswahl;1054;1054 Lützowstr.;;675;292;0;967;294;2;5;289;44;109;47;18;10;20;34;;0;;0;0;7
0.2;05914000;13.09.2020;Ratswahl;1055;1055 Bredelle;;889;420;0;1309;426;3;2;424;71;149;67;19;8;45;47;;2;;3;2;11
0.2;05914000;13.09.2020;Ratswahl;1061;1061 Walddorfstr.;;912;449;0;1361;360;0;6;354;89;119;63;16;4;31;23;;1;;0;1;7
0.2;05914000;13.09.2020;Ratswahl;1062;1062 Ascherothstr.;;934;420;0;1354;389;4;8;381;86;108;82;7;13;39;32;;2;;0;4;8
0.2;05914000;13.09.2020;Ratswahl;1063;1063 Boloh;;881;301;0;1182;405;3;6;399;104;128;62;23;9;33;21;;4;;0;6;9
0.2;05914000;13.09.2020;Ratswahl;1064;1064 Haferkamp;;798;259;0;1057;332;0;7;325;89;97;60;16;8;20;15;;3;;1;3;13
0.2;05914000;13.09.2020;Ratswahl;1065;1065 Fachhochschule;;822;278;0;1100;231;0;5;226;43;58;39;14;10;27;20;;5;;0;3;7
0.2;05914000;13.09.2020;Ratswahl;1071;1071 Am Waldesrand;;726;330;0;1056;305;2;5;300;89;81;39;14;8;36;26;;0;;0;;7
0.2;05914000;13.09.2020;Ratswahl;1072;1072 Alt-Emst;;858;417;0;1275;435;0;4;431;135;120;73;20;6;29;44;;1;;1;;2
0.2;05914000;13.09.2020;Ratswahl;1073;1073 Fritz-Steinhoff-Park;;944;233;0;1177;345;0;16;329;116;62;52;13;8;39;28;;1;;1;;9
0.2;05914000;13.09.2020;Ratswahl;1074;1074 Max-Planck-Str. / Haßley;;954;356;0;1310;263;1;2;261;83;76;28;9;12;30;16;;0;;2;;5
0.2;05914000;13.09.2020;Ratswahl;1075;1075 Bissingheim;;744;360;0;1104;377;2;1;376;155;92;46;15;7;36;18;;0;;0;;7
0.2;05914000;13.09.2020;Ratswahl;1081;1081 Haldener Str.;;948;305;0;1253;379;3;9;370;95;112;47;24;9;39;18;;4;;2;4;16
0.2;05914000;13.09.2020;Ratswahl;1082;1082 Rembergstr.;;1079;205;0;1284;203;0;2;201;64;42;23;3;14;34;8;;4;;0;4;5
0.2;05914000;13.09.2020;Ratswahl;1083;1083 Eickertstr.;;1140;247;0;1387;222;2;1;221;58;46;36;10;6;28;17;;7;;0;2;11
0.2;05914000;13.09.2020;Ratswahl;1084;1084 Bülowstr.;;1102;243;0;1345;282;0;5;277;75;63;30;28;9;43;10;;5;;0;3;11
0.2;05914000;13.09.2020;Ratswahl;1085;1085 Eppenhauser Str.;;754;158;0;912;152;4;3;149;54;23;18;7;7;20;6;;3;;1;4;6
0.2;05914000;13.09.2020;Ratswahl;1091;1091 Minervastr.;;1146;183;0;1329;312;1;3;309;77;33;53;26;25;43;5;;5;;0;5;37
0.2;05914000;13.09.2020;Ratswahl;1092;1092 St.-Michael-Kirche;;1169;202;0;1371;308;2;2;306;105;34;59;17;16;24;4;;2;;1;4;40
0.2;05914000;13.09.2020;Ratswahl;1093;1093 Stadtgarten;;882;435;0;1317;338;0;7;331;68;75;68;31;20;26;19;;1;;0;4;19
0.2;05914000;13.09.2020;Ratswahl;1094;1094 Sternwarte;;926;253;0;1179;287;0;5;282;75;51;44;21;16;36;10;;6;;1;2;20
0.2;05914000;13.09.2020;Ratswahl;1101;1101 Cunosiedlung;;964;248;0;1212;281;2;3;278;77;58;37;25;8;36;6;;5;;3;3;20
0.2;05914000;13.09.2020;Ratswahl;1102;1102 Kuhlerkamp;;879;373;0;1252;412;3;1;411;107;122;55;25;12;46;20;;2;;3;1;18
0.2;05914000;13.09.2020;Ratswahl;1103;1103 Wehringhauser Str. / Philippshöhe;;823;45;0;868;108;0;2;106;32;9;9;9;10;27;5;;0;;1;0;4
0.2;05914000;13.09.2020;Ratswahl;1104;1104 Södingstr.;;701;121;0;822;59;1;2;57;13;8;6;0;2;12;2;;0;;0;3;11
0.2;05914000;13.09.2020;Ratswahl;1105;1105 Feuerwache Mitte;;870;111;0;981;269;1;6;263;70;31;45;16;23;16;15;;2;;1;3;41
0.2;05914000;13.09.2020;Ratswahl;1106;1106 Wilhelmsplatz;;762;111;0;873;127;0;5;122;25;15;21;7;11;10;7;;3;;1;1;21
0.2;05914000;13.09.2020;Ratswahl;2111;2111 Brockhausen;;835;174;0;1009;192;0;3;189;57;25;33;12;9;26;5;;5;;0;14;3
0.2;05914000;13.09.2020;Ratswahl;2112;2112 Niedernhofstr.;;740;232;0;972;243;1;3;240;52;83;32;12;14;37;3;;1;;0;4;2
0.2;05914000;13.09.2020;Ratswahl;2113;2113 Hilgenland;;658;180;0;838;226;0;6;220;66;74;21;10;4;26;7;;0;;1;3;8
0.2;05914000;13.09.2020;Ratswahl;2114;2114 Hagener Str.;;1036;320;0;1356;426;1;5;421;86;179;36;25;5;50;21;;7;;1;4;7
0.2;05914000;13.09.2020;Ratswahl;2115;2115 Boele Kirche;;925;147;0;1072;258;0;2;256;77;101;22;7;8;24;5;;0;;1;4;7
0.2;05914000;13.09.2020;Ratswahl;2116;2116 Allensteiner Str. / Hengstey;;798;246;0;1044;235;0;6;229;49;68;31;15;8;37;9;;3;;0;0;9
0.2;05914000;13.09.2020;Ratswahl;2121;2121 Fritz-Steinhoff-Schule;;992;146;0;1138;229;1;7;222;66;59;18;14;9;34;3;;5;;2;4;8
0.2;05914000;13.09.2020;Ratswahl;2122;2122 Borgenfeldstr.;;684;169;0;853;179;0;2;177;48;43;21;8;12;27;5;;1;;1;0;11
0.2;05914000;13.09.2020;Ratswahl;2123;2123 Knüwenstr.;;823;136;0;959;253;0;6;247;87;56;25;8;14;38;7;;1;;2;3;6
0.2;05914000;13.09.2020;Ratswahl;2124;2124 Steinhausstr.;;801;125;0;926;199;0;15;184;74;53;10;3;5;23;3;;0;;2;9;2
0.2;05914000;13.09.2020;Ratswahl;2125;2125 Bathey;;563;166;0;729;220;0;5;215;53;70;20;17;9;31;6;;1;;0;0;8
0.2;05914000;13.09.2020;Ratswahl;2126;2126 Garenfeld;;1122;351;0;1473;545;2;13;532;128;182;80;36;10;55;19;;2;;0;2;18
0.2;05914000;13.09.2020;Ratswahl;2131;2131 Helfer Str.;;750;184;0;934;234;2;8;226;55;56;32;14;7;40;9;;2;;1;;10
0.2;05914000;13.09.2020;Ratswahl;2132;2132 AWO-Heim Helfe;;857;156;0;1013;217;0;5;212;84;47;21;9;9;29;6;;1;;1;;5
0.2;05914000;13.09.2020;Ratswahl;2133;2133 Louise-Schröder-Str.;;765;153;0;918;248;3;5;243;64;84;15;21;5;38;14;;0;;0;;2
0.2;05914000;13.09.2020;Ratswahl;2134;2134 Fley;;697;216;0;913;362;0;3;359;103;113;57;15;10;41;12;;0;;1;;7
0.2;05914000;13.09.2020;Ratswahl;2135;2135 Buschstr.;;742;269;0;1011;212;0;1;211;49;72;21;11;8;37;3;;2;;3;;5
0.2;05914000;13.09.2020;Ratswahl;2136;2136 Pappelstr.;;699;148;0;847;238;0;2;236;104;71;15;7;5;18;7;;3;;0;;6
0.2;05914000;13.09.2020;Ratswahl;2141;2141 Freiligrathstr.;;845;152;0;997;248;0;3;245;68;66;21;19;10;43;6;;6;;2;;4
0.2;05914000;13.09.2020;Ratswahl;2142;2142 Sonntagstr.;;1017;233;0;1250;388;2;5;383;82;112;44;35;12;67;10;;8;;2;;11
0.2;05914000;13.09.2020;Ratswahl;2143;2143 Wilhelm-Leuschner-Str.;;806;192;0;998;308;4;5;303;81;105;36;16;13;23;11;;7;;0;;11
0.2;05914000;13.09.2020;Ratswahl;2144;2144 Hügelstr.;;885;323;0;1208;341;4;0;341;64;154;49;14;4;40;7;;2;;0;;7
0.2;05914000;13.09.2020;Ratswahl;2145;2145 Hamecke;;800;244;0;1044;315;1;1;314;66;131;36;20;6;29;11;;2;;1;;12
0.2;05914000;13.09.2020;Ratswahl;2151;2151 Masurenstr. / Aehringhausen / Voßacker;;1334;241;0;1575;438;1;7;431;174;87;50;22;13;37;10;;7;;3;12;16
0.2;05914000;13.09.2020;Ratswahl;2152;2152 Vorhalle-Zentrum;;1235;228;0;1463;379;0;7;372;154;79;21;11;12;44;14;;5;;3;20;9
0.2;05914000;13.09.2020;Ratswahl;2153;2153 Wielandplatz / Becheltestr.;;1516;204;0;1720;259;6;11;248;79;50;27;14;9;34;3;;2;;2;22;6
0.2;05914000;13.09.2020;Ratswahl;2154;2154 Lindenstr. / Funkenhausen;;1281;332;0;1613;467;0;3;464;161;114;35;35;11;54;19;;9;;2;8;16
0.2;05914000;13.09.2020;Ratswahl;3161;3161 Halden;;942;336;0;1278;445;0;6;439;94;122;84;21;7;57;36;7;;;0;1;10
0.2;05914000;13.09.2020;Ratswahl;3162;3162 Bandstahlstr.;;797;346;0;1143;439;6;7;432;107;168;73;16;7;31;17;6;;;0;3;4
0.2;05914000;13.09.2020;Ratswahl;3163;3163 Herbeck;;434;86;0;520;206;2;3;203;53;63;31;12;4;19;9;8;;;0;0;4
0.2;05914000;13.09.2020;Ratswahl;3164;3164 Berchum;;1022;405;0;1427;495;4;9;486;83;157;81;23;6;41;36;43;;;0;4;12
0.2;05914000;13.09.2020;Ratswahl;3165;3165 Reh / Henkhausen;;674;230;0;904;380;2;5;375;82;86;60;25;14;25;6;68;;;0;0;9
0.2;05914000;13.09.2020;Ratswahl;3166;3166 Kirchenberg;;626;273;0;899;260;0;2;258;56;75;29;6;1;14;12;54;;;1;7;3
0.2;05914000;13.09.2020;Ratswahl;3171;3171 Im Gersegge;;793;255;0;1048;314;0;2;312;62;72;26;13;4;29;13;80;;;0;3;10
0.2;05914000;13.09.2020;Ratswahl;3172;3172 Wiesenstr.;;916;166;0;1082;271;1;2;269;68;65;17;9;9;20;10;49;;;0;11;11
0.2;05914000;13.09.2020;Ratswahl;3173;3173 Im Sibb;;928;246;0;1174;329;0;7;322;61;77;47;8;12;28;6;65;;;0;2;16
0.2;05914000;13.09.2020;Ratswahl;3174;3174 Auf der Heide;;788;253;0;1041;359;0;4;355;70;103;38;7;8;25;10;90;;;0;0;4
0.2;05914000;13.09.2020;Ratswahl;3175;3175 Elsey;;925;183;0;1108;282;0;2;280;68;54;36;7;12;23;14;58;;;1;2;5
0.2;05914000;13.09.2020;Ratswahl;3176;3176 Bezirksverwaltungsstelle Hohenlimburg;;680;147;0;827;194;0;1;193;44;59;14;12;8;14;0;41;;;0;0;1
0.2;05914000;13.09.2020;Ratswahl;3181;3181 Oeger Str. / Oege;;962;342;0;1304;239;0;6;233;64;29;22;8;5;15;6;65;2;;0;7;10
