version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;320;320 Knutbühren;09.06.2024 17:12:13 210;98;12;0;110;62;0;0;62;18;44
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;321;321 Esebeck;09.06.2024 17:12:13 210;430;66;0;496;247;247;3;244;49;195
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;322;322 Elliehausen (1);09.06.2024 17:12:13 210;1135;199;0;1334;577;2;13;564;145;419
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;323;323 Elliehausen (2);09.06.2024 17:12:13 210;752;95;0;847;306;0;7;299;55;244
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;401;401 Albrecht-Thaer-Weg;09.06.2024 17:12:13 210;726;102;0;828;291;0;2;289;233;56
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;403;403 Sültebecksbreite (1);09.06.2024 17:12:13 210;590;94;0;684;302;0;1;301;179;122
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;404;404 Weende-Nord (3);09.06.2024 17:12:13 210;483;98;0;581;251;0;2;249;121;128
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;405;405 Ernst-Fahlbusch-Straße (4);09.06.2024 17:12:13 210;667;93;0;760;308;0;8;300;159;141
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;406;406 Universität-Nord (1);09.06.2024 17:12:13 210;606;149;0;755;288;0;5;283;158;125
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;407;407 Industriegebiet Weende;09.06.2024 17:12:13 210;548;119;0;667;258;0;5;253;158;95
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;408;408 Theodor-Heuss-Straße;09.06.2024 17:12:13 210;630;92;0;722;241;0;6;235;155;80
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;409;409 Alt-Weende (1);09.06.2024 17:12:13 210;737;150;0;887;356;1;11;345;181;164
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;410;410 Alt-Weende (2);09.06.2024 17:12:13 210;670;145;0;815;327;0;6;321;144;177
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;411;411 Ernst-Fahlbusch-Straße (1);09.06.2024 17:12:13 210;493;119;0;612;278;0;0;278;122;156
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;412;412 Weende-Nord (1);09.06.2024 17:12:13 210;491;114;0;605;307;0;7;300;131;169
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;413;413 Ernst-Fahlbusch-Straße (2);09.06.2024 17:12:13 210;572;67;0;639;216;0;3;213;95;118
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;414;414 Holtenser Berg (1);09.06.2024 17:12:13 210;724;38;0;762;268;0;15;253;76;177
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;415;415 Holtenser Berg (2);09.06.2024 17:12:13 210;1005;40;0;1045;338;2;21;317;129;188
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;416;416 Holtenser Berg (3);09.06.2024 17:12:13 210;752;45;0;797;239;0;11;228;63;165
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;417;417 Holtensen (1);09.06.2024 17:12:13 210;618;77;0;695;282;0;7;275;74;201
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;418;418 Holtensen (2);09.06.2024 17:12:13 210;590;88;0;678;332;0;5;327;89;238
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;419;419 Universität-Nord (2);09.06.2024 17:12:13 210;837;150;0;987;402;2;8;394;251;143
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;420;420 Universität-Nord (3);09.06.2024 17:12:13 210;634;117;0;751;314;0;6;308;175;133
