version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2152;2152 Vorhalle-Zentrum;23.02.2025 16:34:22 780;1237;314;0;1551;866;0;5;861;2;864;232;191;186;169;26;37;17;28;205;202;114;137;0;20;0;4;0;4;27;10;11;4;0;1;0;0;0;1;0;1;43;55;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2153;2153 Wielandplatz / Becheltestr.;23.02.2025 16:34:22 780;929;163;0;1092;539;0;16;523;10;529;149;119;98;92;15;18;18;19;119;115;67;80;0;8;0;1;0;0;17;11;2;2;0;2;0;0;0;0;0;1;38;60;0;1;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2154;2154 Lindenstr. / Funkenhausen;23.02.2025 16:34:22 780;835;275;0;1110;566;0;4;562;2;564;159;135;144;129;32;38;13;12;131;130;34;53;0;13;0;5;0;0;13;5;7;0;0;1;1;2;0;0;0;1;28;40;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3161;3161 Halden;23.02.2025 16:34:22 780;782;368;0;1150;678;0;8;670;6;672;171;146;212;212;54;52;30;39;154;145;26;45;0;8;0;3;0;0;1;1;3;0;0;1;0;0;0;1;0;0;19;19;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3162;3162 Bandstahlstr.;23.02.2025 16:34:22 780;686;371;0;1057;607;0;5;602;3;604;135;118;262;239;62;72;15;28;89;93;17;25;0;6;0;1;0;2;1;0;4;1;0;3;0;0;0;0;0;0;17;16;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3163;3163 Herbeck;23.02.2025 16:34:22 780;380;104;0;484;327;0;1;326;2;325;90;71;97;100;26;31;10;9;78;76;13;20;0;4;0;2;0;0;4;0;2;0;0;3;1;0;0;0;0;1;5;0;0;2;0;6
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3164;3164 Berchum;23.02.2025 16:34:22 780;893;436;0;1329;757;0;2;755;2;755;150;132;296;279;66;79;32;41;156;150;28;35;0;8;0;2;0;0;2;1;9;5;0;1;0;0;0;0;0;0;16;22;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3165;3165 Reh / Henkhausen;23.02.2025 16:34:22 780;572;257;0;829;497;0;2;495;2;495;130;102;161;162;56;65;6;8;96;94;15;28;0;7;0;3;0;1;1;0;7;1;0;0;0;0;0;0;0;0;23;24;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3166;3166 Kirchenberg;23.02.2025 16:34:22 780;514;280;0;794;432;0;5;427;1;431;96;87;138;142;40;36;14;14;97;93;16;23;0;2;0;1;0;0;4;4;6;4;0;1;0;0;0;1;0;0;16;22;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3171;3171 Im Gersegge;23.02.2025 16:34:22 780;890;373;0;1263;649;0;8;641;4;645;152;126;171;171;32;37;21;40;171;168;60;52;0;9;0;3;0;1;4;0;3;2;0;0;1;0;0;2;0;0;26;34;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;3172;3172 Wiesenstr.;23.02.2025 16:34:22 780;542;153;0;695;374;0;4;370;4;370;97;74;69;67;12;11;9;18;120;114;33;43;0;8;0;1;0;3;3;0;6;4;0;0;2;2;0;1;0;1;19;23;0;0;0;0
