version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;1661;1661 Stadtteilzentrum Schelmengraben;;971;76;0;1047;101;1;1;100;29;71
0.2;06414000;01.11.2020;Citybahn;1662;1662 Stadtteilzentrum Schelmengraben;;896;47;0;943;139;0;0;139;36;103
0.2;06414000;01.11.2020;Citybahn;1663;1663 Grundschule Schelmengraben;;832;60;0;892;76;0;0;76;16;60
0.2;06414000;01.11.2020;Citybahn;1664;1664 Grundschule Schelmengraben;;659;64;0;723;85;0;0;85;31;54
0.2;06414000;01.11.2020;Citybahn;1671;1671 Stadtteilbüro Schelmengraben;;311;111;0;422;163;0;0;163;57;106
0.2;06414000;01.11.2020;Citybahn;1681;1681 Helen-Keller-Schule;;564;167;0;731;188;2;0;188;66;122
0.2;06414000;01.11.2020;Citybahn;1691;1691 Joseph-von-Eichendorff-Schule;;461;162;0;623;215;0;0;215;58;157
0.2;06414000;01.11.2020;Citybahn;1692;1692 Joseph-von-Eichendorff-Schule;;503;139;0;642;217;1;1;216;79;137
0.2;06414000;01.11.2020;Citybahn;2111;2111 Evangelisches Gemeindezentrum;;769;248;0;1017;313;0;0;313;83;230
0.2;06414000;01.11.2020;Citybahn;2112;2112 Adolf-Reichwein-Schule;;586;153;0;739;328;1;1;327;107;220
0.2;06414000;01.11.2020;Citybahn;2211;2211 Ev. Bodelschwinghgemeinde;;452;113;0;565;276;0;1;275;74;201
0.2;06414000;01.11.2020;Citybahn;2311;2311 Ernst-Göbel-Schule;;734;208;0;942;355;2;0;355;123;232
0.2;06414000;01.11.2020;Citybahn;2312;2312 Ernst-Göbel-Schule;;671;172;0;843;327;0;0;327;118;209
0.2;06414000;01.11.2020;Citybahn;2411;2411 Peter-Rosegger-Schule;;668;169;0;837;326;0;0;326;133;193
0.2;06414000;01.11.2020;Citybahn;2412;2412 Peter-Rosegger-Schule;;759;177;0;936;401;2;3;398;104;294
0.2;06414000;01.11.2020;Citybahn;2511;2511 Grundschule Nordenstadt;;941;224;0;1165;306;0;1;305;107;198
0.2;06414000;01.11.2020;Citybahn;2512;2512 Grundschule Nordenstadt;;805;232;0;1037;274;1;1;273;59;214
0.2;06414000;01.11.2020;Citybahn;2513;2513 Grundschule Nordenstadt;;832;194;0;1026;326;0;2;324;102;222
0.2;06414000;01.11.2020;Citybahn;2521;2521 Grundschule Nordenstadt;;756;222;0;978;313;0;0;313;96;217
