Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
1085;1085 Eppenhauser Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1085_Eppenhauser_Str.html;Hagen-Mitte;08;08 Remberg;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_08_Remberg.html
1091;1091 Minervastr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1091_Minervastr.html;Hagen-Mitte;09;09 Wehringhausen/Stadtgarten;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_09_WehringhausenStadtgarten.html
1092;1092 St.-Michael-Kirche;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1092_StMichaelKirche.html;Hagen-Mitte;09;09 Wehringhausen/Stadtgarten;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_09_WehringhausenStadtgarten.html
1093;1093 Stadtgarten;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1093_Stadtgarten.html;Hagen-Mitte;09;09 Wehringhausen/Stadtgarten;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_09_WehringhausenStadtgarten.html
1094;1094 Sternwarte;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1094_Sternwarte.html;Hagen-Mitte;09;09 Wehringhausen/Stadtgarten;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_09_WehringhausenStadtgarten.html
1101;1101 Cunosiedlung;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1101_Cunosiedlung.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
1102;1102 Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1102_Kuhlerkamp.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
1103;1103 Wehringhauser Str. / Philippshöhe;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1103_Wehringhauser_Str__Philippshoehe.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
1104;1104 Södingstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1104_Soedingstr.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
1105;1105 Feuerwache Mitte;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1105_Feuerwache_Mitte.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
