gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;4;Eilpe/Dahl;21;21 Eilper Feld/Delstern;4213;4213 Gesamtschule Eilpe;U;;21;21 Eilper Feld/Delstern;;
;;;;4;Eilpe/Dahl;21;21 Eilper Feld/Delstern;4214;4214 In der Welle;U;;21;21 Eilper Feld/Delstern;;
;;;;4;Eilpe/Dahl;21;21 Eilper Feld/Delstern;4215;4215 Hohenfor;U;;21;21 Eilper Feld/Delstern;;
;;;;4;Eilpe/Dahl;22;22 Dahl/Volmetal;4221;4221 Delstern-Süd;U;;22;22 Dahl/Volmetal;;
;;;;4;Eilpe/Dahl;22;22 Dahl/Volmetal;4222;4222 Zum Bollwerk / Ambrock;U;;22;22 Dahl/Volmetal;;
;;;;4;Eilpe/Dahl;22;22 Dahl/Volmetal;4223;4223 Priorei;U;;22;22 Dahl/Volmetal;;
;;;;4;Eilpe/Dahl;22;22 Dahl/Volmetal;4224;4224 Rummenohl;U;;22;22 Dahl/Volmetal;;
;;;;4;Eilpe/Dahl;22;22 Dahl/Volmetal;4225;4225 Zum Hohenhof / Sürenhagen;U;;22;22 Dahl/Volmetal;;
;;;;5;Haspe;23;23 Geweke/Spielbrink;5231;5231 Jungfernbruch / Haus Harkorten;U;;23;23 Geweke/Spielbrink;;
;;;;5;Haspe;23;23 Geweke/Spielbrink;5232;5232 Büdding;U;;23;23 Geweke/Spielbrink;;
;;;;5;Haspe;23;23 Geweke/Spielbrink;5233;5233 Spielbrinkstr.;U;;23;23 Geweke/Spielbrink;;
;;;;5;Haspe;23;23 Geweke/Spielbrink;5234;5234 Geweke / Auf dem Gelling;U;;23;23 Geweke/Spielbrink;;
;;;;5;Haspe;23;23 Geweke/Spielbrink;5235;5235 Tückingstr.;U;;23;23 Geweke/Spielbrink;;
;;;;5;Haspe;24;24 Haspe-Mitte/Kückelhausen;5241;5241 Hüttenplatz;U;;24;24 Haspe-Mitte/Kückelhausen;;
;;;;5;Haspe;24;24 Haspe-Mitte/Kückelhausen;5242;5242 Tillmanns- / Kölner Str.;U;;24;24 Haspe-Mitte/Kückelhausen;;
;;;;5;Haspe;24;24 Haspe-Mitte/Kückelhausen;5243;5243 Leimstr. / Oedeweg;U;;24;24 Haspe-Mitte/Kückelhausen;;
;;;;5;Haspe;24;24 Haspe-Mitte/Kückelhausen;5244;5244 Dickenbruchstr.;U;;24;24 Haspe-Mitte/Kückelhausen;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5251;5251 Steinplatz;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5252;5252 Am Postkopf;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5253;5253 Klutert;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5254;5254 Hestert;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5255;5255 Kettelbach;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;25;25 Hestert/Steinplatz;5256;5256 Am Karweg;U;;25;25 Hestert/Steinplatz;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5261;5261 Baukloh;U;;26;26 Westerbauer/Quambusch;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5262;5262 Ähren- / Twittingstr.;U;;26;26 Westerbauer/Quambusch;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5263;5263 Grazer Str.;U;;26;26 Westerbauer/Quambusch;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5264;5264 Harkortstr.;U;;26;26 Westerbauer/Quambusch;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5265;5265 Westerbauer;U;;26;26 Westerbauer/Quambusch;;
;;;;5;Haspe;26;26 Westerbauer/Quambusch;5266;5266 Gabelsbergerstr.;U;;26;26 Westerbauer/Quambusch;;
;;;;1;Hagen-Mitte;01;01 Mittelstadt;6001;Briefwahlbezirk 6001;B;;01;01 Mittelstadt;;
;;;;1;Hagen-Mitte;02;02 Altenhagen-Süd;6002;Briefwahlbezirk 6002;B;;02;02 Altenhagen-Süd;;
;;;;1;Hagen-Mitte;03;03 Altenhagen-West;6003;Briefwahlbezirk 6003;B;;03;03 Altenhagen-West;;
;;;;1;Hagen-Mitte;04;04 Altenhagen-Ost;6004;Briefwahlbezirk 6004;B;;04;04 Altenhagen-Ost;;
;;;;1;Hagen-Mitte;05;05 Fleyerviertel;6005;Briefwahlbezirk 6005;B;;05;05 Fleyerviertel;;
;;;;1;Hagen-Mitte;06;06 Eppenhausen;6006;Briefwahlbezirk 6006;B;;06;06 Eppenhausen;;
;;;;1;Hagen-Mitte;07;07 Emst;6007;Briefwahlbezirk 6007;B;;07;07 Emst;;
;;;;1;Hagen-Mitte;08;08 Remberg;6008;Briefwahlbezirk 6008;B;;08;08 Remberg;;
;;;;1;Hagen-Mitte;09;09 Wehringhausen/Stadtgarten;6009;Briefwahlbezirk 6009;B;;09;09 Wehringhausen/Stadtgarten;;
;;;;1;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;6010;Briefwahlbezirk 6010;B;;10;10 Wehringhausen/Kuhlerkamp;;
;;;;2;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;6011;Briefwahlbezirk 6011;B;;11;11 Boele/Hengstey/Brockhausen;;
;;;;2;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;6012;Briefwahlbezirk 6012;B;;12;12 Kabel/Bathey/Garenfeld;;
;;;;2;Hagen-Nord;13;13 Helfe/Fley;6013;Briefwahlbezirk 6013;B;;13;13 Helfe/Fley;;
;;;;2;Hagen-Nord;14;14 Boelerheide;6014;Briefwahlbezirk 6014;B;;14;14 Boelerheide;;
;;;;2;Hagen-Nord;15;15 Vorhalle/Eckesey;6015;Briefwahlbezirk 6015;B;;15;15 Vorhalle/Eckesey;;
