gebiet-ebene-5-nr;gebiet-ebene-5-name;gebiet-ebene-4-nr;gebiet-ebene-4-name;gebiet-ebene-3-nr;gebiet-ebene-3-name;gebiet-ebene-2-nr;gebiet-ebene-2-name;bezirk-nr;bezirk-name;bezirk-art;bezirk-repräsentativ;kandidat-gebiet-nr;kandidat-gebiet-bezeichnung;stimmzettel-gebiet-nr;stimmzettel-gebiet-bezeichnung
;;;;;;Frauenstein;Frauenstein;2812;2812 Alfred-Delp-Schule;U;;;;;
;;;;;;Naurod;Naurod;3111;3111 Forum;U;;;;;
;;;;;;Naurod;Naurod;3112;3112 Kellerskopfhalle Naurod;U;;;;;
;;;;;;Naurod;Naurod;3121;3121 Forum;U;;;;;
;;;;;;Naurod;Naurod;3122;3122 Forum;U;;;;;
;;;;;;Auringen;Auringen;3211;3211 Ehemalige Katholische Kirche;U;;;;;
;;;;;;Auringen;Auringen;3212;3212 Ortsverwaltung Auringen;U;;;;;
;;;;;;Auringen;Auringen;3213;3213 Mehrzweckhalle;U;;;;;
;;;;;;Medenbach;Medenbach;3311;3311 Bürgerhaus Medenbach;U;;;;;
;;;;;;Medenbach;Medenbach;3312;3312 Bürgerhaus Medenbach;U;;;;;
;;;;;;Breckenheim;Breckenheim;3411;3411 Grundschule Breckenheim;U;;;;;
;;;;;;Breckenheim;Breckenheim;3412;3412 Grundschule Breckenheim;U;;;;;
;;;;;;Breckenheim;Breckenheim;3413;3413 Vereinshaus Breckenheim;U;;;;;
;;;;;;Amöneburg;Amöneburg;5111;5111 Johann-Hinrich-Wichern-Schule;U;;;;;
;;;;;;Kastel;Kastel;5211;5211 Bürgerhaus Mz-Kastel;U;;;;;
;;;;;;Kastel;Kastel;5212;5212 Bürgerhaus Mz-Kastel;U;;;;;
;;;;;;Kastel;Kastel;5221;5221 Kindertagesstätte AWO;U;;;;;
;;;;;;Kastel;Kastel;5222;5222 Kindertagesstätte AWO;U;;;;;
;;;;;;Kastel;Kastel;5231;5231 Bürgerhaus Mz-Kastel;U;;;;;
;;;;;;Kastel;Kastel;5261;5261 Kindertagesstätte Kastel;U;;;;;
;;;;;;Kastel;Kastel;5262;5262 Krautgartenschule -Im Sampel;U;;;;;
;;;;;;Kostheim;Kostheim;5311;5311 Bürgerhaus Mz-Kostheim;U;;;;;
;;;;;;Kostheim;Kostheim;5312;5312 Bürgerhaus Mz-Kostheim;U;;;;;
;;;;;;Kostheim;Kostheim;5321;5321 Brüder-Grimm-Schule;U;;;;;
;;;;;;Kostheim;Kostheim;5322;5322 Brüder-Grimm-Schule;U;;;;;
;;;;;;Kostheim;Kostheim;5323;5323 Brüder-Grimm-Schule;U;;;;;
;;;;;;Kostheim;Kostheim;5324;5324 Ortsverwaltung Kastel/Kostheim;U;;;;;
;;;;;;Kostheim;Kostheim;5331;5331 Wilhelm-Leuschner-Schule;U;;;;;
;;;;;;Kostheim;Kostheim;5332;5332 Wilhelm-Leuschner-Schule;U;;;;;
;;;;;;Kostheim;Kostheim;5333;5333 Krautgartenschule -Im Sampel;U;;;;;
;;;;;;Mitte;Mitte;99011;B99011 Briefwahlbezirk;B;;;;;
;;;;;;Mitte;Mitte;99012;B99012 Briefwahlbezirk;B;;;;;
;;;;;;Mitte;Mitte;99013;B99013 Briefwahlbezirk;B;;;;;
;;;;;;Mitte;Mitte;99014;B99014 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99021;B99021 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99022;B99022 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99023;B99023 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99024;B99024 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99025;B99025 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99026;B99026 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99027;B99027 Briefwahlbezirk;B;;;;;
;;;;;;Nordost;Nordost;99028;B99028 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99031;B99031 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99032;B99032 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99033;B99033 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99034;B99034 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99035;B99035 Briefwahlbezirk;B;;;;;
;;;;;;Südost;Südost;99036;B99036 Briefwahlbezirk;B;;;;;
;;;;;;Rheingauviertel, Hollerborn;Rheingauviertel, Hollerborn;99061;B99061 Briefwahlbezirk;B;;;;;
;;;;;;Rheingauviertel, Hollerborn;Rheingauviertel, Hollerborn;99062;B99062 Briefwahlbezirk;B;;;;;
;;;;;;Rheingauviertel, Hollerborn;Rheingauviertel, Hollerborn;99063;B99063 Briefwahlbezirk;B;;;;;
;;;;;;Rheingauviertel, Hollerborn;Rheingauviertel, Hollerborn;99064;B99064 Briefwahlbezirk;B;;;;;
;;;;;;Rheingauviertel, Hollerborn;Rheingauviertel, Hollerborn;99065;B99065 Briefwahlbezirk;B;;;;;
;;;;;;Klarenthal;Klarenthal;99071;B99071 Briefwahlbezirk;B;;;;;
;;;;;;Klarenthal;Klarenthal;99072;B99072 Briefwahlbezirk;B;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;99081;B99081 Briefwahlbezirk;B;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;99082;B99082 Briefwahlbezirk;B;;;;;
;;;;;;Westend, Bleichstraße;Westend, Bleichstraße;99083;B99083 Briefwahlbezirk;B;;;;;
;;;;;;Sonnenberg;Sonnenberg;99111;B99111 Briefwahlbezirk;B;;;;;
;;;;;;Sonnenberg;Sonnenberg;99112;B99112 Briefwahlbezirk;B;;;;;
;;;;;;Sonnenberg;Sonnenberg;99113;B99113 Briefwahlbezirk;B;;;;;
;;;;;;Sonnenberg;Sonnenberg;99114;B99114 Briefwahlbezirk;B;;;;;
;;;;;;Bierstadt;Bierstadt;99121;B99121 Briefwahlbezirk;B;;;;;
;;;;;;Bierstadt;Bierstadt;99122;B99122 Briefwahlbezirk;B;;;;;
;;;;;;Bierstadt;Bierstadt;99123;B99123 Briefwahlbezirk;B;;;;;
;;;;;;Erbenheim;Erbenheim;99131;B99131 Briefwahlbezirk;B;;;;;
;;;;;;Erbenheim;Erbenheim;99132;B99132 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99141;B99141 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99142;B99142 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99143;B99143 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99144;B99144 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99145;B99145 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99146;B99146 Briefwahlbezirk;B;;;;;
;;;;;;Biebrich;Biebrich;99147;B99147 Briefwahlbezirk;B;;;;;
;;;;;;Dotzheim;Dotzheim;99161;B99161 Briefwahlbezirk;B;;;;;
;;;;;;Dotzheim;Dotzheim;99162;B99162 Briefwahlbezirk;B;;;;;
;;;;;;Dotzheim;Dotzheim;99163;B99163 Briefwahlbezirk;B;;;;;
;;;;;;Dotzheim;Dotzheim;99164;B99164 Briefwahlbezirk;B;;;;;
;;;;;;Dotzheim;Dotzheim;99165;B99165 Briefwahlbezirk;B;;;;;
