version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4211;4211 Sunderlohstr.;15.09.2025 09:03:13 809;557;124;0;681;169;0;1;168;29;29;10;52;3;3;11;3;4;0;24
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4212;4212 Selbecke;15.09.2025 09:03:13 809;749;260;0;1009;310;5;1;309;63;52;10;101;13;8;14;12;1;1;34
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4213;4213 Gesamtschule Eilpe;15.09.2025 09:03:13 809;760;202;0;962;298;3;0;298;64;55;14;86;5;9;11;13;3;0;38
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4214;4214 In der Welle;15.09.2025 09:03:13 809;1295;339;0;1634;504;0;5;499;73;98;24;159;20;10;16;34;1;2;62
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4215;4215 Hohenfor;15.09.2025 09:03:13 809;724;209;0;933;258;0;2;256;47;60;10;83;4;13;8;11;1;0;19
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4221;4221 Delstern-Süd;15.09.2025 09:03:13 809;434;168;0;602;180;0;2;178;22;32;16;42;9;3;13;3;0;1;37
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4222;4222 Zum Bollwerk / Ambrock;15.09.2025 09:03:13 809;764;280;0;1044;410;2;0;410;97;60;27;130;9;7;9;4;8;0;59
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4223;4223 Priorei;15.09.2025 09:03:13 809;647;236;0;883;285;5;2;283;71;40;15;102;7;8;9;4;2;2;23
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4224;4224 Rummenohl;15.09.2025 09:03:13 809;686;274;0;960;328;0;3;325;63;73;16;96;6;9;11;3;4;0;44
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;4225;4225 Zum Hohenhof / Sürenhagen;15.09.2025 09:03:13 809;742;402;0;1144;429;4;3;426;108;77;28;107;10;10;9;14;0;0;63
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5231;5231 Jungfernbruch / Haus Harkorten;15.09.2025 09:03:13 809;1148;363;0;1511;442;0;7;435;81;103;9;138;15;9;11;11;1;4;53
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5232;5232 Büdding;15.09.2025 09:03:13 809;638;120;0;758;234;0;1;233;39;47;3;78;13;3;9;3;1;4;33
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5233;5233 Spielbrinkstr.;15.09.2025 09:03:13 809;659;131;0;790;220;0;5;215;31;55;10;78;9;7;8;4;0;0;13
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5234;5234 Geweke / Auf dem Gelling;15.09.2025 09:03:13 809;1083;463;0;1546;433;0;3;430;85;85;22;124;28;5;19;8;3;2;49
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5235;5235 Tückingstr.;15.09.2025 09:03:13 809;958;309;0;1267;363;0;4;359;97;64;7;87;14;6;6;13;1;2;62
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5241;5241 Hüttenplatz;15.09.2025 09:03:13 809;1162;192;0;1354;252;0;2;250;50;54;2;93;10;1;13;13;0;2;12
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5242;5242 Tillmanns- / Kölner Str.;15.09.2025 09:03:13 809;1027;166;0;1193;155;0;0;155;22;45;7;39;4;2;3;9;2;2;20
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5243;5243 Leimstr. / Oedeweg;15.09.2025 09:03:13 809;1261;159;0;1420;234;0;2;232;27;55;7;78;11;4;15;10;3;1;21
0.3;05914000;14.09.2025;Wahl des Oberbürgermeisters / der Oberbürgermeisterin;5244;5244 Dickenbruchstr.;15.09.2025 09:03:13 809;997;220;0;1217;288;4;9;279;25;68;11;110;7;8;8;9;2;2;29
