version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2145;2145 Hamecke;15.09.2025 09:03:13 809;779;256;0;1035;399;0;9;390;136;71;35;97;8;12;0;11;4;7;8;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2151;2151 Masurenstr. / Aehringhausen / Voßacker;15.09.2025 09:03:13 809;1348;386;0;1734;505;2;5;500;141;143;17;117;25;5;0;11;21;4;10;4;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2152;2152 Vorhalle-Zentrum;15.09.2025 09:03:13 809;1359;346;0;1705;514;0;11;503;119;98;25;132;22;11;0;22;39;13;19;1;2
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2153;2153 Wielandplatz / Becheltestr.;15.09.2025 09:03:13 809;1197;221;0;1418;286;2;1;285;49;56;13;76;5;6;0;11;47;1;18;2;1
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);2154;2154 Lindenstr. / Funkenhausen;15.09.2025 09:03:13 809;1004;247;0;1251;342;0;2;340;109;63;22;90;9;4;0;13;20;1;5;3;1
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3161;3161 Halden;15.09.2025 09:03:13 809;845;363;0;1208;501;0;6;495;147;98;41;130;28;20;3;11;4;3;10;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3162;3162 Bandstahlstr.;15.09.2025 09:03:13 809;704;398;0;1102;461;1;9;452;150;80;47;86;27;21;5;11;8;5;7;5;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3163;3163 Herbeck;15.09.2025 09:03:13 809;392;114;0;506;233;4;5;228;57;42;14;59;19;5;11;4;1;10;1;5;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3164;3164 Berchum;15.09.2025 09:03:13 809;975;402;0;1377;557;0;4;553;182;103;48;106;20;22;29;22;8;3;9;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3165;3165 Reh / Henkhausen;15.09.2025 09:03:13 809;613;241;0;854;362;1;7;355;85;88;43;57;14;5;49;7;2;1;3;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3166;3166 Kirchenberg;15.09.2025 09:03:13 809;552;266;0;818;271;0;5;266;72;42;23;41;13;5;53;5;4;1;7;0;0
